artist;track;duration
Café Quijano;Morenita;198
Café Quijano;El perdido;189
Café Quijano;De sol a sol;214
Café Quijano;Hablando a un cristal;209
Café Quijano;Sangre Negra;220
Café Quijano;La Lola;196
Mark Knopfler;Speedway At Nazareth;432
Mark Knopfler;Wanderlust;232
Mark Knopfler;Prairie Wedding;284
Mark Knopfler;El Macho;328
Mark Knopfler;Silvertown Blues;213
Mark Knopfler;Do America;251
Mark Knopfler;The Last Laugh;201
Mark Knopfler;Baloney Again;309
Mark Knopfler;Who's Your Baby Now;186
Mark Knopfler;Sailing to Philadelphia;466
Mark Knopfler;What It Is;298
Café Quijano;Otra Vez (Que Pena de Mi);258
Café Quijano;En mis Besos;214
Café Quijano;Qué Poca Cosa;250
Café Quijano;Las Llaves de Raquel;232
Café Quijano;La taberna del Buda;226
Café Quijano;En Aquel Hotel Jamaicano;233
Café Quijano;Que le Debo a la Vida;242
Café Quijano;Lucía, la Corista;260
Café Quijano;Desde Brasil;232
Café Quijano;De Piratas;229
Café Quijano;Nada de Na;222
Eagles;The Last Resort;438
Eagles;Try and Love Again;310
Eagles;Pretty Maids All in a Row;279
Eagles;Victim of Love;301
Eagles;Wasted Time (Reprise);90
Eagles;Wasted Time;324
Eagles;Life in the Fast Lane;511
Eagles;New Kid in Town;304
Eagles;Hotel California;390
Led Zeppelin;How Many More Times;785
Led Zeppelin;I Can't Quit You Baby;383
Led Zeppelin;Communication Breakdown;331
Led Zeppelin;Black Mountain Side [Instrumental];536
Led Zeppelin;Your Time Is Gonna Come;274
Led Zeppelin;Dazed and Confused;1099
Led Zeppelin;You Shook Me;260
Led Zeppelin;Babe I'm Gonna Leave You;401
Led Zeppelin;Good Times Bad Times;191
Smash;Ahimsa (No Violencia);129
Smash;Ottenos;69
Smash;Sitting On The Truth (Sentado en la Verdad);398
Smash;Love Millionaire (Millonario de Amor);181
Smash;Nazarin Again (Nazarín de nuevo);167
Smash;Glorieta De Los Lotos;60
Smash;It's Only Nothing (Solamente Nada);286
Smash;Tove and all That (Tove y todo eso);165
Smash;Free as the Green Little Men (Libre como los hombrecillos verdes);46
Smash;Light Blood, Dark Bleeding (Sangre Ligera, Oscura Sangría);172
Smash;Forever Walking (Caminando para Siempre);237
Mark Knopfler;One More Matinee;249
Mark Knopfler;Sands of Nevada;238
Mark Knopfler;Junkie Doll;313
Smash (ESP);Nazarin Again (Nazarín de nuevo);167
Smash (ESP);It's Only Nothing (Solamente nada);286
Smash (ESP);Tove and All That (Tove y todo eso);165
Smash (ESP);Free as the Green Little Men (Libre como los hombrecillos verdes);46
Smash (ESP);Light Blood, Dark Bleeding (Sangre ligera, oscura sangría);172
Smash (ESP);Forever Walking (Caminando para siempre);237
Tame Impala;I Don't Really Mind;386
Tame Impala;Runway, Houses, City, Clouds;412
Tame Impala;The Bold Arrow of Time;337
Tame Impala;Expectation;407
Tame Impala;Jeremy's Storm;306
Tame Impala;Solitude Is Bliss;235
Tame Impala;Why Won't You Make Up Your Mind?;208
Tame Impala;Lucidity;268
Tame Impala;Alter Ego;309
Tame Impala;Desire Be Desire Go;325
Tame Impala;It Is Not Meant to Be;322
Smash (ESP);Ahimsa (No violencia);129
Smash (ESP);Ottenos;73
Smash (ESP);Sitting on the Truth (Sentado en la verdad);398
Smash (ESP);Love Millionaire (Millonario de amor);181
Smash (ESP);Glorieta de los Lotos;63
Extremoduro;Salir (nueva mezcla 2004);328
Triana;Fin;118
Triana;Caudaloso Río;239
Triana;Encuentro Fugaz;318
Triana;Un Extraño Más;184
Triana;Un Nido en mi Ventana;211
Triana;Cae Fina La Lluvia;196
Triana;A través del aire;365
Triana;Tu frialdad;263
Supertramp;Casual Conversations;178
Supertramp;Just Another Nervous Wreck;266
Supertramp;Lord Is It Mine;250
Supertramp;Oh Darling;220
Supertramp;Breakfast in America;157
Supertramp;Goodbye Stranger;402
Supertramp;The Logical Song;242
Supertramp;Gone Hollywood;340
Dire Straits;How Long;229
Dire Straits;Planet of New Orleans;460
Dire Straits;Ticket to Heaven;261
Dire Straits;You and Your Friend;359
Dire Straits;The Bug;255
Dire Straits;Fade to Black;230
Dire Straits;When It Comes to You;285
Dire Straits;On Every Street;294
Dire Straits;Calling Elvis;410
Tom Petty;Something in the Air;215
Tom Petty;Mary Jane's Last Dance;273
Tom Petty;Into The Great Wide Open;255
Tom Petty;Learning To Fly;238
Tom Petty;Free Fallin';257
Tom Petty;Runnin' Down A Dream;263
Tom Petty;I Won't Back Down;176
Tom Petty;Don't Come Around Here No More;409
Tom Petty;You Got Lucky;0
Tom Petty;Waiting;0
Tom Petty;Here Comes My Girl;0
Tom Petty;Even The Losers;0
Tom Petty;Don't Do Me Like That;166
Tom Petty;Refugee;242
Tom Petty;I Need To Know;155
Tom Petty;Listen To Her Heart;183
Tom Petty;Anything That's Rock 'N' Roll;0
Tom Petty;Breakdown;258
Tom Petty;American Girl;227
Crack;Epilogo;139
Crack;Si todo Hiciera Crack;611
Crack;Marchando una del Cid (Part 1, 2);465
Crack;Buenos Deseos;231
Crack;Cobarde o Desertor;296
Crack;Amantes de la Irrealidad;375
Crack;Descenso en el Mahëllstrong;327
Smash;Goodbye (Adiós);77
Smash;Fail Safe;631
Smash;Don't Be Sad Baby (No Estés Triste Pequeña);176
Smash;My Funny Girl (Mi Graciosa Muchacha);152
Smash;We Come To Smash This Time (Esta Vez Venimos A Golpear);198
Smash;Behind The Stars (Detrás De Las Estrellas);246
Smash;First Movement (Primer Movimiento);227
Smash;Well, You Know (Bueno Tú Ya Sabes);181
Smash (ESP);Rock and Roll (Rollo en las rocas);536
Robe;Del Tiempo Perdido;446
Extremoduro;Stand By (Directo, 2002);0
el Drogas;Frío con Fito, Rosendo y Carlos Tarque (Un día nada más);0
Desakato;Heroes;0
Desakato;Estepa;132
Pink Floyd;Two Suns in the Sunset;314
Pink Floyd;Not Now John;301
Pink Floyd;The Final Cut;286
Pink Floyd;Southampton Dock;133
Pink Floyd;Get Your Filthy Hands Off My Desert;79
Pink Floyd;Paranoid Eyes;220
Pink Floyd;The Gunner's Dream;378
Pink Floyd;The Hero's Return;176
Pink Floyd;When the Tigers Broke Free;222
Pink Floyd;One of the Few;77
Pink Floyd;Your Possible Pasts;262
Pink Floyd;The Post War Dream;182
Pink Floyd;High Hopes;419
The Beatles;Here Comes the Sun;184
Rosendo;Para Cuando Desatino;0
Renaissance;Cold Is Being;184
Renaissance;All The Fallen Angels (Demo) (Bonus);0
Renaissance;Prayer For Light (From The Film 'Schizom') (Bonus);0
Renaissance;Past Orbits Of Dust;881
Renaissance;Face Of Yesterday;454
Renaissance;Mr. Pine;780
Renaissance;Love Is All;220
Renaissance;Golden Thread;502
Renaissance;Love Goes On;168
The Beatles;Twist and Shout;166
The Beatles;There's a Place;106
The Beatles;A Taste of Honey;140
The Beatles;Do You Want to Know a Secret;113
The Beatles;Baby It's You;149
The Beatles;P.S. I Love You;124
The Beatles;Love Me Do;143
The Beatles;Please Please Me;120
The Beatles;Ask Me Why;154
The Beatles;Boys;152
The Beatles;Chains;140
The Beatles;Anna (Go to Him);180
The Beatles;Misery;108
The Beatles;I Saw Her Standing There;153
Fleetwood Mac;Gold Dust Woman;291
Fleetwood Mac;Oh Daddy;234
Fleetwood Mac;I Don't Want to Know;191
Fleetwood Mac;You Make Loving Fun;214
Fleetwood Mac;The Chain;269
Fleetwood Mac;Songbird;193
Sade;It's Only Love That Gets You Through;233
Sade;Lover's Rock;0
Sade;Immigrant;228
Sade;Every Word;0
Sade;The Sweetest Gift;165
Sade;Slave Song;252
Sade;All About Our Love;160
Sade;King of Sorrow;292
Sade;Flow;274
Sade;By Your Side;258
The Beatles;Get Back;217
The Beatles;For You Blue;146
The Beatles;The Long and Winding Road;218
The Beatles;One After 909;299
The Beatles;I've Got a Feeling;52
The Beatles;Maggie Mae;38
The Beatles;Let It Be;207
The Beatles;Dig It;413
The Beatles;I Me Mine;145
The Beatles;Across the Universe;220
The Beatles;Dig a Pony;274
The Beatles;Two of Us;209
The Beatles;The End;142
The Beatles;Carry That Weight;97
The Beatles;Golden Slumbers;92
The Beatles;She Came in Through the Bathroom Window;238
The Beatles;Polythene Pam;103
The Beatles;Mean Mr. Mustard;66
The Beatles;Sun King;146
The Beatles;You Never Give Me Your Money;242
The Beatles;Because;166
The Beatles;I Want You (She's So Heavy);465
The Beatles;Octopus's Garden;169
The Beatles;Oh! Darling;205
The Beatles;Maxwell's Silver Hammer;207
The Beatles;Something;184
The Beatles;Come Together;266
The Beatles;Yellow Submarine in Pepperland;130
The Beatles;Pepperland Laid Waste;135
The Beatles;March of the Meanies;142
The Beatles;Sea of Monsters;219
The Beatles;Sea of Holes;140
The Beatles;Sea of Time;180
The Beatles;Pepperland;143
The Beatles;All You Need Is Love;232
The Beatles;It's All Too Much;382
The Beatles;Hey Bulldog;188
The Beatles;All Together Now;131
The Beatles;Only a Northern Song;206
The Beatles;Good Night;194
The Beatles;Revolution 9;495
The Beatles;Cry Baby Cry;191
The Beatles;Savoy Truffle;175
The Beatles;Honey Pie;162
The Beatles;Revolution 1;253
The Beatles;Long, Long, Long;188
The Beatles;Helter Skelter;270
The Beatles;Sexy Sadie;195
The Beatles;Everybody's Got Something to Hide Except Me and My Monkey;145
The Beatles;Mother Nature's Son;166
The Beatles;Yer Blues;238
The Beatles;Birthday;160
The Beatles;Julia;177
The Beatles;I Will;106
The Beatles;Why Don't We Do It in the Road?;102
The Beatles;Don't Pass Me By;232
The Beatles;Rocky Raccoon;213
The Beatles;Piggies;124
The Beatles;Blackbird;140
The Beatles;I'm So Tired;121
The Beatles;Martha My Dear;148
The Beatles;Happiness Is a Warm Gun;167
The Beatles;While My Guitar Gently Weeps;285
The Beatles;The Continuing Story of Bungalow Bill;185
The Beatles;Wild Honey Pie;62
The Beatles;Ob-La-Di, Ob-La-Da;190
The Beatles;Glass Onion;130
The Beatles;Dear Prudence;240
The Beatles;Back in the U.S.S.R.;165
The Beatles;Money (That's What I Want);143
The Beatles;Not a Second Time;125
The Beatles;Devil in Her Heart;145
The Beatles;I Wanna Be Your Man;119
The Beatles;You Really Got a Hold on Me;179
The Beatles;Hold Me Tight;150
The Beatles;Roll Over Beethoven;161
The Beatles;Please Mister Postman;149
The Beatles;Till There Was You;178
The Beatles;Little Child;107
The Beatles;Don't Bother Me;148
The Beatles;All My Loving;124
The Beatles;All I've Got to Do;121
The Beatles;It Won't Be Long;134
The Beatles;Everybody's Trying to Be My Baby;133
The Beatles;What You're Doing;158
The Beatles;I Don't Want to Spoil the Party;157
The Beatles;Every Little Thing;124
The Beatles;Honey Don't;166
The Beatles;Words of Love;130
The Beatles;Eight Days a Week;167
The Beatles;Medley: a. Kansas City b. Hey, Hey, Hey, Hey;151
The Beatles;Mr. Moonlight;127
The Beatles;I'll Follow the Sun;105
The Beatles;Rock and Roll Music;118
The Beatles;Baby's in Black;153
The Beatles;I'm a Loser;148
The Beatles;No Reply;133
